t_s,raw_u16,voltage_V
42.379,3952,0.199002
42.431,3920,0.197391
42.483,3942,0.198499
42.535,3942,0.198499
42.587,3910,0.196887
42.639,3906,0.196686
42.691,3900,0.196384
42.743,3912,0.196988
42.795,3912,0.196988
42.847,3920,0.197391
42.899,3898,0.196283
42.951,3892,0.195981
43.003,3926,0.197693
43.055,3930,0.197894
43.107,3952,0.199002
43.159,3948,0.198801
43.211,3948,0.198801
43.263,3948,0.198801
43.315,3946,0.1987
43.367,3950,0.198901
43.419,3974,0.20011
43.471,3978,0.200311
43.523,3962,0.199506
43.575,3990,0.200916
43.627,3988,0.200815
43.679,3984,0.200613
43.731,3980,0.200412
43.783,3984,0.200613
43.835,3958,0.199304
43.887,3952,0.199002
43.939,3944,0.198599
43.991,3920,0.197391
44.043,3942,0.198499
44.095,3944,0.198599
44.147,3950,0.198901
44.199,3950,0.198901
44.251,3952,0.199002
44.303,3944,0.198599
44.355,3946,0.1987
44.407,3946,0.1987
44.459,3936,0.198196
44.511,3936,0.198196
44.563,3934,0.198096
44.615,3950,0.198901
44.667,3940,0.198398
44.719,3950,0.198901
44.771,3952,0.199002
44.823,3924,0.197592
44.875,3916,0.197189
44.927,3946,0.1987
44.979,3952,0.199002
45.031,3936,0.198196
45.083,3950,0.198901
45.135,3972,0.200009
45.187,3968,0.199808
45.239,3992,0.201016
45.291,3986,0.200714
45.343,3952,0.199002
45.395,3936,0.198196
45.447,3932,0.197995
45.499,3918,0.19729
45.551,3890,0.19588
45.603,3888,0.195779
45.655,3890,0.19588
45.707,3888,0.195779
45.759,3898,0.196283
45.811,3918,0.19729
45.863,3922,0.197491
45.915,3942,0.198499
45.967,3958,0.199304
46.019,3972,0.200009
46.071,3962,0.199506
46.123,3998,0.201318
46.175,4024,0.202628
46.227,4030,0.20293
46.279,4034,0.203131
46.331,4050,0.203937
46.383,4028,0.202829
46.435,4012,0.202023
46.487,3982,0.200513
46.539,3946,0.1987
46.591,3890,0.19588
